spp_site,PC1,PC2,PC3,PC4,PC5,PC6
KNAUTIA ARVENSIS_allmendb.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM_allmendb.ch,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
ACHILLEA MILLEFOLIUM_allmendb.ch,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
CENTAUREA SCABIOSA_allmendb.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
LEUCANTHEMUM VULGARE_allmendb.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
CAREX CARYOPHYLLEA_allmendb.ch,-0.039797789,0.195250779,-0.289862005,0.18628069,-0.10828538,0.166127164
TRIFOLIUM MONTANUM_allmendb.ch,0.098331977,0.007141386,-0.257647137,0.21431403,-0.033802464,0.207444819
HIPPOCREPIS COMOSA_allmendb.ch,0.098331977,0.007141386,-0.257647137,0.21431403,-0.033802464,0.207444819
LOTUS CORNICULATUS_allmendb.ch,-0.039797789,0.195250779,-0.289862005,0.18628069,-0.10828538,0.166127164
TRIFOLIUM PRATENSE_allmendb.ch,-0.039797789,0.195250779,-0.289862005,0.18628069,-0.10828538,0.166127164
PRUNELLA VULGARIS_allmendb.ch,0.023460264,0.272671201,0.131533908,-0.013209563,-0.074183291,-0.054116708
THYMUS SERPYLLUM_allmendb.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
LINUM CATHARTICUM_allmendb.ch,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
GLOBULARIA VULGARIS_allmendb.ch,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
PLANTAGO LANCEOLATA_allmendb.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
BRACHYPODIUM PINNATUM_allmendb.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
BROMUS ERECTUS_allmendb.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
BRIZA MEDIA_allmendb.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
HELICTOTRICHON PRATENSE_allmendb.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
POTENTILLA GRANDIFLORA_allmendb.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
SANGUISORBA MINOR_allmendb.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
RHINANTHUS MINOR_allmendb.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
CARLINA VULGARIS_allmendb.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
CENTAUREA JACEA_allmendb.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
CAREX FLACCA_allmendb.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
SCABIOSA COLUMBARIA_allmendb.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
SALVIA PRATENSIS_allmendb.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
